,"2,022","2,023","2,024","2,025","2,026"
"September, Week 00", "0", "0", "0", "0", "0"
"September, Week 01","3,137","2,876","1,874","2,905","4,661"
"September, Week 02","4,300","3,681","2,578","3,774","5,838"
"September, Week 03","5,521","4,660","3,384","4,890","7,256"
"September, Week 04","6,657","5,661","4,391","6,345","9,043"
"September, Week 05","7,121","6,077","4,768","6,883","9,680"
"October, Week 01","8,657","7,516","6,845","8,604","11,700"
"October, Week 02","10,018","8,866","8,144","10,258","13,638"
"October, Week 03","11,427","10,229","9,435","11,858","15,615"
"October, Week 04","13,248","11,573","10,701","14,298","18,451"
"October, Week 05","14,392","12,444","11,585","15,952",
"November, Week 01","16,709","15,252","14,547","18,686",
"November, Week 02","19,031","17,608","17,285","21,751",
"November, Week 03","21,098","19,699","19,790","24,443",
"November, Week 04","22,549","21,275","21,344","27,450",
"November, Week 05","23,446","22,557","22,825","28,236",
"December, Week 01","26,292","25,110","25,854","32,348",
"December, Week 02","28,012","26,756","27,589","34,536",
"December, Week 03","29,688","28,421","29,505","36,821",
"December, Week 04","30,855","29,597","30,661","38,205",
"December, Week 05","31,689","30,456","31,442","39,299",
"January, Week 01","33,094","31,796","32,974","41,008",
"January, Week 02","34,550","33,124","34,327","42,611",
"January, Week 03","35,975","34,526","35,868","44,141",
"January, Week 04","37,276","35,693","36,956","45,668",
"January, Week 05","38,418","36,807","38,770","47,223",
"February, Week 01","41,395","40,132","41,882","50,345",
"February, Week 02","43,191","41,793","43,831","52,858",
"February, Week 03","45,174","43,948","46,020","55,362",
"February, Week 04","47,662","46,230","47,823","58,818",
"March, Week 01","50,187","48,908","51,188","61,616",
"March, Week 02","51,375","50,122","52,440","63,225",
"March, Week 03","52,786","51,460","53,959","64,814",
"March, Week 04","53,451","52,099","54,695","65,629",
"March, Week 05","54,578","52,939","55,357","66,408",
"April, Week 01","55,697","53,773","56,343","67,524",
"April, Week 02","56,204","54,243","56,790","68,015",
"April, Week 03","56,696","54,739","57,355","68,602",
"April, Week 04","57,170","55,165","57,820","69,075",
"April, Week 05","57,495","55,521","58,283","69,917",
"May, Week 01","58,017","56,509","59,441","70,986",
"May, Week 02","58,436","57,023","60,007","71,641",
"May, Week 03","59,000","57,537","60,527","72,194",
"May, Week 04","59,388","57,882","60,886","72,562",
"May, Week 05","59,650","58,197","61,232","72,948",
"June, Week 01","60,094","58,719","61,702","73,454",
"June, Week 02","60,384","59,071","62,062","73,819",
"June, Week 03","60,678","59,412","62,413","74,240",
"June, Week 04","60,963","59,770","62,912","74,726",
"June, Week 05","61,331","60,014","63,171","75,002",
"July, Week 01","61,641","60,418","63,545","75,355",
"July, Week 02","61,883","60,658","63,875","75,731",
"July, Week 03","62,129","60,996","64,187","76,007",
"July, Week 04","62,275","61,123","64,357","76,112",
"July, Week 05","62,361","61,213","64,520","76,256",
"August, Week 01","62,453","61,288","64,676","76,354",
"August, Week 02","62,493","61,373","64,703","76,388",
"August, Week 03","62,529","61,398","64,727","76,456",

"August, Week 04","62,539","61,409","64,736","76,469",
